Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
9/30/2016,65350,18076,PA,Philadelphia,Montgomery,Red Hill,10711,199900,0,0,0.025654182,0.003641241,-0.0081287,2007-12,2007-Q4,230300,-0.132001737,2005-06
9/30/2016,64876,17045,PA,Harrisburg,Perry,Liverpool Township,10712,152900,-0.003908795,0.00990753,0.114431487,0.023702386,0.02367527,2016-08,2016-Q3,153500,-0.003908795,2016-07
9/30/2016,79664,49283,MI,Jackson,Jackson,Spring Arbor,10713,147700,0.009569378,0.024271845,0.08682855,0.039484418,-0.001544017,2006-06,2006-Q2,151800,-0.027009223,2005-11
9/30/2016,61029,8247,NJ,Ocean City,Cape May,Stone Harbor,10714,1221100,-0.004159191,-0.023744803,0.008673385,0.028274313,-0.015509732,2006-02,2006-Q1,1490000,-0.180469799,2005-03
9/30/2016,99729,98340,WA,Bremerton,Kitsap,Hansville,10715,399800,0.009341075,0.028292181,0.104114885,0.049166531,-0.007070743,2006-06,2006-Q2,433300,-0.07731364,2005-11
9/30/2016,79630,49246,MI,Jackson,Jackson,Horton,10716,149500,0.00537996,0.014246947,0.036754508,0.031540407,0.003268707,2006-02,2006-Q1,155700,-0.039820167,2005-05
9/30/2016,84872,61273,IL,Davenport,Henry,Orion,10717,136300,0.000734214,-0.008005822,-0.003654971,0.007502717,0.006224002,2014-09,2014-Q3,140000,-0.026428571,2014-07
9/30/2016,77950,46071,IN,Indianapolis,Boone,Thorntown,10718,129300,-0.00308404,-0.0513573,-0.048565121,0.010863434,0,2016-01,2016-Q1,140100,-0.077087794,2014-02
9/30/2016,72065,32564,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,Holt,10719,124100,0.011409943,0.01804758,0.040234702,0.014994901,-0.019298038,2005-11,2005-Q4,167900,-0.260869565,2004-12
9/30/2016,59171,3608,NH,Keene,Cheshire,Walpole,10720,241700,-0.00165221,0.014693535,0.072315883,-0.005533744,0.003974643,2009-02,2009-Q1,256600,-0.05806703,2008-04
9/30/2016,95127,86017,AZ,Flagstaff,Coconino,Munds Park,10721,275700,0.007307271,0.022246941,0.076953125,0.052268207,-0.025946866,2006-07,2006-Q3,359100,-0.232247285,2005-07
9/30/2016,95794,89085,NV,Las Vegas,Clark,North Las Vegas,10722,277600,0.007988381,0.022091311,0.028529085,0.100214243,-0.040653102,2006-03,2006-Q1,431300,-0.356364479,2004-01
9/30/2016,60243,6280,CT,Worcester,Windham,Windham,10723,174900,0.002866972,0.00459506,0.00459506,-0.015282695,-0.026079272,2007-06,2007-Q2,231600,-0.244818653,2003-10
9/30/2016,85037,61536,IL,Peoria,Peoria,Hanna City,10724,128100,0.005494505,0.007075472,-0.022137405,0.008158471,0.007990499,2015-10,2015-Q4,131900,-0.028809704,2015-06
9/30/2016,63254,13730,NY,,Chenango,Town of Afton,10725,92200,-0.021231423,-0.040582726,-0.003243243,-0.006174626,0.011178198,2011-01,2011-Q1,98800,-0.066801619,2010-08
9/30/2016,77257,44643,OH,Canton,Stark,Magnolia,10726,123300,-0.002427184,0,0.030936455,0.031282428,0.01466011,2016-08,2016-Q3,123600,-0.002427184,2016-06
9/30/2016,72201,32767,FL,Orlando,Lake,Paisley,10727,111700,-0.013250883,-0.051782683,-0.131415241,0.030972101,-0.019563424,2007-01,2007-Q1,137500,-0.187636364,2005-06
9/30/2016,59097,3278,NH,Concord,Merrimack,Warner,10728,220000,0.003649635,0.0133579,0.03480715,0.018939378,-0.006320095,2006-04,2006-Q2,240200,-0.084096586,2005-02
9/30/2016,78031,46216,IN,Indianapolis,Marion,Lawrence,10729,143500,0.005606167,0.01556971,-0.051553206,-0.004536893,-0.0119919,2007-07,2007-Q3,169400,-0.152892562,
9/30/2016,77147,44402,OH,Youngstown,Trumbull,Bristolville,10730,115200,0.004359198,0.006993007,0.018567639,0.026862425,0.000347887,2006-03,2006-Q1,119300,-0.034367142,2004-11
9/30/2016,88462,70079,LA,New Orleans,Saint Charles,Norco,10731,138100,0.005094614,0.032137519,0.008765522,0.017541181,0.011072732,2014-08,2014-Q3,141400,-0.023338048,2014-06
9/30/2016,79601,49125,MI,Niles,Berrien,Shorewood-Tower Hills-Harbert,10732,197600,0.015938303,0.101449275,0.033472803,0.003270716,,2010-09,2010-Q3,220300,-0.103041307,2010-04
9/30/2016,74328,37356,TN,Chattanooga,Marion,Monteagle,10733,173400,0.02542874,0.110115237,0.159866221,0.033585366,0.020971949,2010-02,2010-Q1,184200,-0.058631922,2009-11
9/30/2016,78178,46553,IN,Elkhart,Elkhart,New Paris,10734,150400,0.02173913,0.037957212,-0.004632694,0.038855974,,2015-11,2015-Q4,152400,-0.01312336,2015-08
9/30/2016,100008,98857,WA,Moses Lake,Grant,Warden,10735,83800,0.016990291,0.055415617,-0.028968714,0.013669668,,2015-07,2015-Q3,89200,-0.060538117,2014-12
9/30/2016,58296,1223,MA,Pittsfield,Berkshire,Becket,10736,222100,0.00452284,0.008170676,0.025392428,0.008307556,-0.007555625,2006-09,2006-Q3,239600,-0.073038397,2006-02
9/30/2016,99904,98601,WA,Portland,Clark,Amboy,10737,367500,0.011004127,0.04820308,0.140595903,0.080704632,0.004919654,2016-09,2016-Q3,367500,0,2016-09
9/30/2016,65224,17859,PA,Bloomsburg,Columbia,Orange Township,10738,140400,0.014450867,0.033112583,0.063636364,0.026315307,0.018225454,2010-02,2010-Q1,142700,-0.01611773,2010-01
9/30/2016,73087,34289,FL,North Port-Sarasota-Bradenton,Sarasota,North Port,10739,197100,-0.002025316,0.006639428,0.060818084,0.10123298,-0.020556062,2006-01,2006-Q1,259200,-0.239583333,2005-02
9/30/2016,77167,44428,OH,Youngstown,Trumbull,Kinsman,10740,94900,-0.003151261,-0.001052632,0.028169014,0.021558958,-0.003716361,2006-04,2006-Q2,103900,-0.086621752,2003-11
9/30/2016,70119,28669,NC,North Wilkesboro,Wilkes,Roaring River,10741,113200,-0.029991431,-0.047138047,0.095837367,0.030311061,0.007260505,2009-03,2009-Q1,126900,-0.107959023,2008-12
9/30/2016,60826,7838,NJ,Allentown,Warren,Liberty Township,10742,272400,0.004054552,0.002207506,0.052550232,0.010452067,-0.025448491,2007-05,2007-Q2,352600,-0.227453205,2003-10
